experiment,ablation_type,removed,n_features,features_used,threshold,auroc,pr_auc,accuracy,balanced_accuracy,precision,recall,f1,mcc,auc_generation,auc_polish,auc_fusion,delta_auroc,loss_auroc,delta_pr_auc,loss_pr_auc,delta_accuracy,loss_accuracy,delta_balanced_accuracy,loss_balanced_accuracy,delta_f1,loss_f1,delta_mcc,loss_mcc,delta_auc_generation,loss_auc_generation,delta_auc_polish,loss_auc_polish,delta_auc_fusion,loss_auc_fusion,delta_auroc_bootstrap_mean,delta_auroc_ci_low,delta_auroc_ci_high,delta_auroc_p_decrease,delta_fusion_auroc_bootstrap_mean,delta_fusion_auroc_ci_low,delta_fusion_auroc_ci_high,delta_fusion_auroc_p_decrease,overall_importance,fusion_importance
Full model,reference,none,15,doc_ai_prob;sent_mean;sent_max;sent_prop_gt_05;sent_min;sent_median;sent_q25;sent_q75;sent_top2_mean;sent_bottom2_mean;sent_std;sent_range;sent_diff_mean;sent_high_low_coexist;n_sentences,0.7737277504394512,0.9535586927018438,0.9849421514567502,0.8785462636751344,0.8874937234928428,0.9648351648351648,0.8695221589502352,0.9147024352129184,0.7174626162767084,0.9992971751732925,0.987977249966727,0.8720165200474539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,reference,reference
Without feature: doc_ai_prob,single_feature,doc_ai_prob,14,sent_mean;sent_max;sent_prop_gt_05;sent_min;sent_median;sent_q25;sent_q75;sent_top2_mean;sent_bottom2_mean;sent_std;sent_range;sent_diff_mean;sent_high_low_coexist;n_sentences,0.7752500103719756,0.9401495500114649,0.9801609640315446,0.849990728722418,0.8674476659073296,0.9622209502003435,0.832384253528101,0.8926058675162618,0.6671873674201632,0.9985556227077057,0.974446576585815,0.8458445188977313,-0.01340914269037885,0.01340914269037885,-0.004781187425205613,0.004781187425205613,-0.028555534952716455,0.028555534952716455,-0.020046057585513255,0.020046057585513255,-0.022096567696656577,0.022096567696656577,-0.05027524885654522,0.05027524885654522,-0.0007415524655868255,0.0007415524655868255,-0.013530673380911962,0.013530673380911962,-0.026172001149722623,0.026172001149722623,-0.013338502499448693,-0.0164929876832347,-0.010264738317651057,1.0,-0.026056714695695305,-0.033524350312455944,-0.018428846215737243,1.0,performance-critical,performance-critical
Without feature: sent_mean,single_feature,sent_mean,14,doc_ai_prob;sent_max;sent_prop_gt_05;sent_min;sent_median;sent_q25;sent_q75;sent_top2_mean;sent_bottom2_mean;sent_std;sent_range;sent_diff_mean;sent_high_low_coexist;n_sentences,0.8068801788164627,0.9537624849007261,0.9850236743824313,0.8703875394029297,0.8869564947083513,0.96962879640045,0.8536766526367913,0.9079657669519421,0.7081136079942336,0.9992581748045618,0.9880653417086853,0.872585000116526,0.00020379219888233546,-0.00020379219888233546,8.152292568108788e-05,-8.152292568108788e-05,-0.008158724272204765,0.008158724272204765,-0.0005372287844915835,0.0005372287844915835,-0.006736668260976297,0.006736668260976297,-0.009349008282474758,0.009349008282474758,-3.900036873072388e-05,3.900036873072388e-05,8.809174195834046e-05,-8.809174195834046e-05,0.0005684800690720637,-0.0005684800690720637,0.00020259321687402865,-0.00021516351101145693,0.0006062726489110408,0.1655,0.0005695034164292634,-0.0006248217430723707,0.0016915819449175777,0.1615,weak or redundant,weak or redundant
Without feature: sent_max,single_feature,sent_max,14,doc_ai_prob;sent_mean;sent_prop_gt_05;sent_min;sent_median;sent_q25;sent_q75;sent_top2_mean;sent_bottom2_mean;sent_std;sent_range;sent_diff_mean;sent_high_low_coexist;n_sentences,0.7633054380204395,0.953227267524209,0.9848581204616208,0.8794733914333395,0.8863943061794476,0.963104673408035,0.8724931913840059,0.9155624837620161,0.7174658283935368,0.9992729022165301,0.988173615459637,0.8708357239645008,-0.00033142517763473656,0.00033142517763473656,-8.403099512943601e-05,8.403099512943601e-05,0.0009271277582050264,-0.0009271277582050264,-0.0010994173133952456,0.0010994173133952456,0.0008600485490977139,-0.0008600485490977139,3.212116828410494e-06,-3.212116828410494e-06,-2.4272956762438902e-05,2.4272956762438902e-05,0.00019636549291002225,-0.00019636549291002225,-0.0011807960829530728,0.0011807960829530728,-0.00034207178861345546,-0.0008795338507162048,0.00024796774652439946,0.8875,-0.0012077807137379653,-0.002742888589004086,0.00041820323675739404,0.928,weak or redundant,weak or redundant
Without feature: sent_prop_gt_05,single_feature,sent_prop_gt_05,14,doc_ai_prob;sent_mean;sent_max;sent_min;sent_median;sent_q25;sent_q75;sent_top2_mean;sent_bottom2_mean;sent_std;sent_range;sent_diff_mean;sent_high_low_coexist;n_sentences,0.775569859659132,0.9538485183054582,0.9850258319088272,0.8766920081587243,0.8865012765126428,0.9649944873208379,0.866798712552612,0.913264640667797,0.7143666854369733,0.9993293572957417,0.9880377959937076,0.8728016828563724,0.00028982560361445753,-0.00028982560361445753,8.368045207696184e-05,-8.368045207696184e-05,-0.0018542555164101637,0.0018542555164101637,-0.000992446980200068,0.000992446980200068,-0.0014377945451213847,0.0014377945451213847,-0.0030959308397350283,0.0030959308397350283,3.218212244915364e-05,-3.218212244915364e-05,6.054602698057909e-05,-6.054602698057909e-05,0.0007851628089184937,-0.0007851628089184937,0.00028694023887480737,-3.977787838856384e-05,0.0006095800436146352,0.043,0.0007819740213764043,-0.00011847496412659142,0.0016544393049728638,0.0425,weak or redundant,weak or redundant
Without feature: sent_min,single_feature,sent_min,14,doc_ai_prob;sent_mean;sent_max;sent_prop_gt_05;sent_median;sent_q25;sent_q75;sent_top2_mean;sent_bottom2_mean;sent_std;sent_range;sent_diff_mean;sent_high_low_coexist;n_sentences,0.7969196772174459,0.9536863256805963,0.9849683174742621,0.873354348229186,0.8872188005937677,0.967930842163971,0.8593711314681852,0.9104262295081967,0.7114566956180512,0.9992887205479033,0.9879112493427209,0.8724795718948337,0.00012763297875251212,-0.00012763297875251212,2.616601751181946e-05,-2.616601751181946e-05,-0.005191915445948436,0.005191915445948436,-0.00027492289907515843,0.00027492289907515843,-0.004276205704721647,0.004276205704721647,-0.006005920658657127,0.006005920658657127,-8.454625389231474e-06,8.454625389231474e-06,-6.600062400607953e-05,6.600062400607953e-05,0.0004630518473798251,-0.0004630518473798251,0.00012187866053394314,-0.00020114536884300872,0.00044884797522531646,0.2405,0.00044997181182283223,-0.0004619490126924197,0.00136852767823759,0.1645,weak or redundant,weak or redundant
Without feature: sent_median,single_feature,sent_median,14,doc_ai_prob;sent_mean;sent_max;sent_prop_gt_05;sent_min;sent_q25;sent_q75;sent_top2_mean;sent_bottom2_mean;sent_std;sent_range;sent_diff_mean;sent_high_low_coexist;n_sentences,0.788707848138451,0.9532218732937318,0.9848345584713081,0.8750231781939551,0.8866145553526674,0.9661956220559712,0.8633325080465462,0.9118723849372385,0.7126291592799567,0.9993536302525041,0.9879265222143918,0.8709885948859545,-0.00033681940811203237,0.00033681940811203237,-0.000107592985442162,0.000107592985442162,-0.0035230854811793,0.0035230854811793,-0.0008791681401754126,0.0008791681401754126,-0.0028300502756798407,0.0028300502756798407,-0.004833456996751639,0.004833456996751639,5.645507921159254e-05,-5.645507921159254e-05,-5.07277523351668e-05,5.07277523351668e-05,-0.00102792516149941,0.00102792516149941,-0.0003326717020132042,-0.0007108178640822249,5.6970845189929225e-05,0.9545,-0.0010168848845893935,-0.0019850816291879904,-4.254583630657714e-05,0.9785,weak or redundant,complementary but small
Without feature: sent_q25,single_feature,sent_q25,14,doc_ai_prob;sent_mean;sent_max;sent_prop_gt_05;sent_min;sent_median;sent_q75;sent_top2_mean;sent_bottom2_mean;sent_std;sent_range;sent_diff_mean;sent_high_low_coexist;n_sentences,0.7655898906722863,0.9536100750328316,0.9849678286317345,0.8802150936399036,0.8881168942544313,0.9644128113879004,0.8722456053478583,0.9160166406656266,0.7200113484895164,0.9993050843389792,0.9878498851261865,0.8722939627361176,5.1382330987781444e-05,-5.1382330987781444e-05,2.567717498425104e-05,-2.567717498425104e-05,0.0016688299647691363,-0.0016688299647691363,0.0006231707615884652,-0.0006231707615884652,0.001314205452708217,-0.001314205452708217,0.002548732212808047,-0.002548732212808047,7.909165686714736e-06,-7.909165686714736e-06,-0.00012736484054043373,0.00012736484054043373,0.00027744268866369826,-0.00027744268866369826,4.786008134133468e-05,-0.00036427055558374,0.0004304870203843789,0.417,0.00026754838877932774,-0.0008165346409391594,0.0013231727347081915,0.315,weak or redundant,weak or redundant
Without feature: sent_q75,single_feature,sent_q75,14,doc_ai_prob;sent_mean;sent_max;sent_prop_gt_05;sent_min;sent_median;sent_q25;sent_top2_mean;sent_bottom2_mean;sent_std;sent_range;sent_diff_mean;sent_high_low_coexist;n_sentences,0.8090496889354091,0.9537356051759744,0.9849999764311218,0.8709438160578528,0.887082390562035,0.9693906206121876,0.8546669967813816,0.9084210526315789,0.7088118139592623,0.9993168117225836,0.9880697053863056,0.8724393427049774,0.0001769124741306527,-0.0001769124741306527,5.782497437156753e-05,-5.782497437156753e-05,-0.007602447617281682,0.007602447617281682,-0.0004113329308078617,0.0004113329308078617,-0.006281382581339479,0.006281382581339479,-0.008650802317446082,0.008650802317446082,1.9636549291046634e-05,-1.9636549291046634e-05,9.245541957858538e-05,-9.245541957858538e-05,0.0004228226575234695,-0.0004228226575234695,0.00017729025311923746,-0.0002781594373617635,0.0006405054412243646,0.229,0.00042039919563815526,-0.0007862448354044288,0.0016760451543525899,0.246,weak or redundant,weak or redundant
Without feature: sent_top2_mean,single_feature,sent_top2_mean,14,doc_ai_prob;sent_mean;sent_max;sent_prop_gt_05;sent_min;sent_median;sent_q25;sent_q75;sent_bottom2_mean;sent_std;sent_range;sent_diff_mean;sent_high_low_coexist;n_sentences,0.7342839504827152,0.9538128615277266,0.9850363857908131,0.8809567958464677,0.8827204695138208,0.9584345479082321,0.8791780143599901,0.9170971074380165,0.7157768001568202,0.9993476301957763,0.9881103421341438,0.8726010917924685,0.00025416882588280565,-0.00025416882588280565,9.42343340628593e-05,-9.42343340628593e-05,0.002410532171333246,-0.002410532171333246,-0.004773253979022063,0.004773253979022063,0.002394672225098149,-0.002394672225098149,-0.0016858161198881616,0.0016858161198881616,5.045502248379741e-05,-5.045502248379741e-05,0.00013309216741685947,-0.00013309216741685947,0.0005845717450145838,-0.0005845717450145838,0.0002582592068542929,-0.00011244227716240284,0.0006248027448769257,0.0805,0.0005873220343873567,-0.00039008442026123024,0.0015715602378015164,0.1205,weak or redundant,weak or redundant
Without feature: sent_bottom2_mean,single_feature,sent_bottom2_mean,14,doc_ai_prob;sent_mean;sent_max;sent_prop_gt_05;sent_min;sent_median;sent_q25;sent_q75;sent_top2_mean;sent_std;sent_range;sent_diff_mean;sent_high_low_coexist;n_sentences,0.8013297244268162,0.9534180769988915,0.9849128375032576,0.8715000927127758,0.8874537696162563,0.9694163860830527,0.8554097548898242,0.9088517690385374,0.7097745852387743,0.9993187208315425,0.9879584316069898,0.8715870387654022,-0.00014061570295231807,0.00014061570295231807,-2.931395349259347e-05,2.931395349259347e-05,-0.0070461709623586,0.0070461709623586,-3.9953876586507064e-05,3.9953876586507064e-05,-0.005850666174381014,0.005850666174381014,-0.007688031037934029,0.007688031037934029,2.1545658249966237e-05,-2.1545658249966237e-05,-1.8818359737160506e-05,1.8818359737160506e-05,-0.00042948128205166913,0.00042948128205166913,-0.0001426314994534471,-0.0005319465528673378,0.0002906735949308652,0.754,-0.0004384439293875061,-0.0015262261024739875,0.0007116127521538826,0.7855,weak or redundant,weak or redundant
